"X60410","X60430","X60434","X60512","X61104","X61402","X61502","X61603","X62601","X63001","X65001","X65101","year","month","day"
2.526,3.263,2.895,3,2.842,2.053,2.895,2.474,1.211,3.737,2.895,2.737,2009,1,1
5.368,6.316,5.842,6.421,4.632,5.474,6.632,5.526,5.105,6.263,5.158,5.158,2009,1,2
3.947,3.737,3.737,5.316,3.368,5.684,5.579,3.947,6,5,3.105,3.105,2009,1,3
2,3.211,2.632,2.737,2.737,3.105,2.947,2.211,3.316,1.947,3.316,2.474,2009,1,4
5.421,5.263,4.421,4.684,3.053,4.263,3.842,4.316,3.316,4.368,3.316,3.526,2009,1,5
5.316,7.368,4.895,9.474,4,6.632,7.947,4.842,3.789,7.053,6.211,4.632,2009,1,6
5.125,2.684,1.895,4,1.842,4.077,3.263,2,2.474,4,2.737,5.667,2009,1,7
2.368,4.105,2.368,2.737,1.474,2.158,2,1.895,2.842,2.421,2,1.737,2009,1,8
4.053,4.474,5.158,6.526,2.421,7.053,5.737,4.474,6.105,6,4.316,3.474,2009,1,9
2.895,4.263,4,4.105,2.368,4.526,4.684,3.421,2.737,2.579,6.474,9.632,2009,1,10
3.211,3.053,3.263,2.737,3.158,3.316,3.737,3.211,2,3,3.684,2.684,2009,1,11
7.947,8.789,8.158,9.895,7.842,10.895,11.316,8.842,8.895,10.263,7.368,5.737,2009,1,12
4.158,5.158,4.053,4.368,5.105,4.053,3.632,4.737,3.474,5.368,5,4.421,2009,1,13
4.737,8.684,8.632,10.526,3.158,5.842,4.526,9.053,3.263,6,4.684,4.105,2009,1,14
5.158,5.368,5.526,3,3.789,5.316,4.737,3.579,4.526,3.526,8,5.895,2009,1,15
4.632,5.526,4.947,6.684,4.105,7.632,6.684,4.421,4.684,6.737,4,3.105,2009,1,16
3.737,4.895,5.105,3.789,3.421,3.842,4.474,4.632,2.842,4.526,4.211,4.368,2009,1,17
6.895,8,8.421,7.842,8.895,7.316,9.474,7.842,6.895,8.684,7.263,7.895,2009,1,18
15.737,16.632,14.211,13.526,13.947,15.316,16.211,13.053,12.421,14.211,15.632,13.421,2009,1,19
5.053,4.895,4.947,7.789,4.632,9.947,5,4.263,7.263,11.211,3.684,4.421,2009,1,20
6.684,8.368,7.526,7,8.053,9.158,8.474,7.211,8.211,7.579,5.474,6,2009,1,21
13.368,14.789,13.105,13.579,14.526,13.526,15.211,12.105,10.895,12.737,7.895,10.211,2009,1,22
15.947,17.842,17.842,19.632,14.211,18.579,18.368,18.267,15.263,18.842,18.316,18.684,2009,1,23
2.368,1.632,2.474,1.421,3.053,1,1,1.071,0.474,0.737,2.182,1.737,2009,1,24
5,5.158,5.684,7.105,3.474,7,5.789,5.632,5.947,6.526,2.316,4,2009,1,25
10.632,11.579,9.316,10.579,8.368,11.158,9.053,9.474,8.263,11.474,5.316,5.526,2009,1,26
7.316,8.947,8.474,9.053,5.842,9.526,7.053,8.579,7.789,9.158,5.947,5.579,2009,1,27
3.158,5.579,3.842,6.316,2.789,5.368,4.895,4.684,6.211,4.211,4.474,4.368,2009,1,28
8.895,9.526,8.947,9.421,8.368,8.579,10.579,8.789,9.158,9.316,9.316,9.316,2009,1,29
8.947,9.632,8.789,9.421,10.421,9.316,7.526,8.947,7.526,9,6.789,10.2,2009,1,30
2.474,2.842,2.579,2.684,2.316,2.579,3.889,2.789,3.526,2.842,3.158,3.333,2009,1,31
6.053,6.316,6,6.895,5.737,6.895,7.316,6.368,6.579,6.421,5,5.789,2009,2,1
2.263,4,2.947,4.474,1.947,3.789,2.842,3.368,3.947,4.474,2.316,2.105,2009,2,2
3.421,7.632,8.947,10.474,3.105,11.789,10.053,8.105,8,8.632,3.263,3.842,2009,2,3
3.632,3.316,2.632,3.368,5.158,2.105,1.579,2.474,2.158,2.421,1.947,1.789,2009,2,4
5.211,5.526,3.684,5.105,6.526,4.947,4.053,4.474,4.947,5.789,3.789,3.474,2009,2,5
12.368,12.211,11.105,10.684,10.842,9.211,11.474,10.316,9.526,11,9.789,11.211,2009,2,6
8.421,10.316,13.316,11.474,12.368,9.947,9.053,10.105,9.263,11.474,10.895,11,2009,2,7
3.684,4.263,3.632,4.526,4.316,3.895,2.421,3.632,5.737,4.105,5.625,7.875,2009,2,8
5.263,6.737,5.947,9.579,2.316,9.684,6.684,5.579,11.053,7.316,4.105,3.526,2009,2,9
8.368,8.421,6.789,9.316,6.737,9.053,8.947,8.263,9.526,6.263,9.105,9.632,2009,2,10
8.105,8.579,6.158,9.158,7.632,6.474,3.789,5.211,6.211,6,6.923,6.579,2009,2,11
2.211,1.684,1.737,2.579,1.286,3.158,2.579,1.947,3.947,1.895,0.786,0.895,2009,2,12
